distanceRange,Grouping,flightDistance,inflightWifi,Dept_Arr_Time_Convenience,onlineBooking_ease,gateLocation,foodandDrinks,onlineBoarding,seatComfort,inflightEntertainment,onboardService,legroomService,baggageHandling,checkinService,inflightService,Cleanliness
0-1000,Business,501.95244987442,2.767868545400366,2.866204078157592,2.873015197309608,2.9797794900174535,3.2503511983312756,3.5534460005959727,3.596526329232472,3.5055553190583626,3.6610616831978207,3.555617044825678,3.886467157634839,3.514750329913584,3.883402154016432,3.373419607509259
0-1000,Eco,500.13915041218075,2.6829136447587727,3.1500743276724177,2.5964232623091132,2.975224109194108,3.09734672733006,2.809766205684941,3.1478219739627913,3.109644578584621,3.1144420919861253,3.076309743682148,3.454322266768773,3.1201180233343844,3.4644353349249966,3.10971214919591
0-1000,Eco Plus,491.27166666666665,2.775138888888889,3.212361111111111,2.668888888888889,2.977222222222222,3.1255555555555556,2.8872222222222224,3.1805555555555554,3.1459722222222224,3.042361111111111,3.0618055555555554,3.3675,3.015972222222222,3.3968055555555554,3.131388888888889
1000-2000,Business,1539.4302176696542,2.8249208167666287,2.923310196104859,2.9562638991845813,2.965159377316531,3.3556843453062877,3.7502527124469305,3.8295707257901475,3.6576588718916367,3.702203652537233,3.6553002223869533,3.8462834422804772,3.5736909495249005,3.8694655974122245,3.529280948851001
1000-2000,Eco,1315.4633415579838,2.650951709552344,3.3446422277053225,2.62830454705675,2.9495065209728586,3.0834508283397954,2.8188227000352484,3.1250440606274235,3.0658265773704616,3.1519210433556575,3.1007225942897425,3.434702150158618,3.150158618258724,3.50951709552344,3.0954353189989425
1000-2000,Eco Plus,1331.7690075449798,2.698781195589089,3.2408589669181658,2.6372605919907137,2.9152640742890306,3.0911201392919327,2.8810214741729543,3.1154962275101568,3.048752176436448,3.0272780034822984,3.0185722576900753,3.278583865351132,3.0174114915844457,3.363319791062101,3.0702263493905977
2000-3000,Business,2472.349904256886,2.761084106643099,2.9433642657239654,2.937251436146708,3.0052290469877745,3.396523788481367,3.823906319045515,3.871777875975843,3.7393577846516424,3.6805862424510236,3.7261010458093975,3.8121225511857415,3.502430402121078,3.7940050081013403,3.5584769480041243
2000-3000,Eco,2396.8864,2.6252,3.2528,2.6072,2.9624,2.9236,2.8808,3.1116,3.0032,3.0632,3.1276,3.4552,3.0852,3.3168,3.06
2000-3000,Eco Plus,2413.544117647059,2.672268907563025,3.069327731092437,2.638655462184874,3.0252100840336134,2.9558823529411766,2.884453781512605,3.1743697478991595,3.0105042016806722,2.9684873949579833,3.107142857142857,3.3718487394957983,2.98109243697479,3.2668067226890756,3.0987394957983194
3000-4000,Business,3503.9641946242887,2.7428879733176377,2.934471257602511,2.9261330194231903,2.9991171277221893,3.3853247008043947,3.915636649009221,3.909848930743575,3.787227781047675,3.7072787914459484,3.733666862860506,3.788699234844026,3.4830292328820875,3.7972336668628603,3.560231508730626
3000-4000,Eco,3662.315789473684,2.4473684210526314,3.736842105263158,2.526315789473684,2.973684210526316,2.5789473684210527,3.0,3.289473684210526,3.4210526315789473,3.4210526315789473,3.6052631578947367,3.710526315789474,3.210526315789474,3.289473684210526,3.289473684210526
3000-4000,Eco Plus,3544.0,2.2,2.2,2.0,2.2,2.2,2.4,2.8,2.4,3.6,3.2,3.0,2.8,2.2,2.8
> 4000,Business,4512.0344827586205,2.7758620689655173,2.896551724137931,2.896551724137931,3.0689655172413794,3.6724137931034484,3.689655172413793,3.6379310344827585,3.7413793103448274,3.4482758620689653,3.7586206896551726,4.155172413793103,3.603448275862069,3.7241379310344827,3.706896551724138
> 4000,Eco,4694.04,2.4,2.8,2.32,2.76,2.4,2.76,2.88,2.68,3.04,3.48,3.24,2.88,2.84,2.88
> 4000,Eco Plus,4642.142857142857,3.2857142857142856,3.4285714285714284,3.7142857142857144,3.7142857142857144,3.4285714285714284,2.7142857142857144,3.2857142857142856,2.5714285714285716,3.142857142857143,3.0,3.7142857142857144,3.2857142857142856,2.5714285714285716,3.2857142857142856
