genre,imdb_score_total,num_movies,imdb_score_avg
drama,11381.900000000029,1805,6.3
crime,3339.8,533,6.3
action,4176.4,688,6.1
thriller,4755.199999999998,792,6.0
european,2069.900000000001,329,6.3
fantasy,1859.5999999999997,304,6.1
comedy,9124.9,1493,6.1
war,669.1999999999999,98,6.8
romance,4143.099999999999,683,6.1
western,173.4,28,6.2
documentation,3730.3999999999983,539,6.9
history,995.7,145,6.9
music,1115.4999999999998,173,6.4
family,1966.9999999999998,328,6.0
horror,1386.3000000000006,249,5.6
scifi,1174.2999999999997,200,5.9
animation,1467.6000000000004,229,6.4
sport,724.8999999999997,113,6.4
reality,62.099999999999994,9,6.9
