year,num_movies,imdb_score_avg,runtime_avg
1976,3,6.7,124.3
1972,2,7.0,103.0
1975,2,7.3,100.5
1967,2,7.7,130.0
1979,5,7.1,105.0
1971,1,7.7,102.0
1980,3,5.2,119.3
1961,1,7.5,158.0
1966,1,7.3,117.0
1954,2,7.5,107.5
1958,1,7.5,77.0
1977,1,7.5,150.0
1969,1,8.1,129.0
1963,1,7.6,186.0
1956,1,6.7,120.0
1960,1,6.4,158.0
1973,1,5.1,131.0
1974,1,6.5,162.0
1959,1,6.6,142.0
1978,1,4.4,141.0
1990,7,6.9,119.3
1987,5,6.8,105.8
1984,5,7.0,131.4
1989,8,7.1,107.2
1983,3,6.6,128.0
1986,4,6.2,117.0
1981,2,6.1,124.5
1988,6,6.4,114.5
1985,1,8.0,87.0
1982,5,7.1,113.6
1996,5,7.0,105.8
1995,8,6.8,126.5
1997,14,6.7,121.1
1994,12,6.8,126.6
2000,6,6.7,121.5
1999,9,6.6,124.4
1998,16,6.9,117.6
1992,1,7.2,123.0
1993,12,7.0,119.5
1991,9,6.0,99.7
2007,35,6.6,114.5
2004,27,6.8,121.0
2002,13,6.8,112.1
2003,20,6.8,118.0
2010,45,6.6,109.0
2006,31,6.9,115.5
2005,21,6.3,116.1
2008,44,6.5,109.6
2009,39,6.5,119.2
2001,13,6.9,119.2
2012,73,6.5,111.6
2011,55,6.6,108.5
2014,103,6.6,104.3
2013,92,6.5,105.6
2016,213,6.2,96.4
2015,124,6.3,103.2
2018,446,6.2,98.1
2017,367,6.2,96.6
2019,465,6.2,97.5
2020,424,6.0,95.5
2022,180,5.9,100.3
2021,429,6.0,98.7
