country_name,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,17.59,17.3,17.02,16.44,15.83,15.86,15.91,15.82,15.49
Brazil,2.03,2.12,2.28,2.42,2.52,2.37,2.17,2.2,2.07
Canada,15.79,16.0,15.73,15.84,15.85,15.65,15.42,15.54,15.65
China,6.34,6.9,7.05,7.32,7.29,7.15,7.12,7.23,7.49
Germany,9.45,9.3,9.45,9.62,9.09,9.09,9.07,8.86,8.54
France,5.35,5.13,5.15,5.13,4.62,4.68,4.7,4.75,4.58
India,1.34,1.41,1.51,1.54,1.66,1.65,1.66,1.73,1.81
Italy,6.84,6.68,6.33,5.75,5.39,5.56,5.5,5.44,5.38
Japan,9.03,9.49,9.82,9.91,9.56,9.28,9.19,9.1,8.8
Mexico,4.06,4.13,4.15,4.0,3.84,3.87,3.84,3.78,3.59
Norway,8.47,8.0,7.67,7.78,7.61,7.61,7.4,7.15,7.08
USA,17.43,16.6,15.79,16.11,16.04,15.56,15.15,14.82,15.22
