AgeRange,Grouping,Age,inflightWifi,Dept_Arr_Time_Convenience,onlineBooking_ease,gateLocation,foodandDrinks,onlineBoarding,seatComfort,inflightEntertainment,onboardService,legroomService,baggageHandling,checkinService,inflightService,Cleanliness
0-14,Business,10.265075376884422,2.6658291457286434,3.0728643216080402,2.8103015075376883,2.9560301507537687,3.021356783919598,2.827889447236181,3.0150753768844223,3.0351758793969847,3.185929648241206,3.2110552763819094,3.748743718592965,3.2248743718592965,3.741206030150754,3.022613065326633
0-14,Eco,10.041586998087954,2.519120458891013,3.4538718929254304,2.5033460803059273,2.9349904397705546,2.9851816443594648,2.5105162523900573,2.949569789674952,3.015057361376673,3.2229923518164436,3.220602294455067,3.6787762906309753,3.2394837476099427,3.700525812619503,3.003585086042065
0-14,Eco Plus,9.919354838709678,2.5161290322580645,3.4403225806451614,2.535483870967742,2.935483870967742,2.982258064516129,2.541935483870968,2.956451612903226,2.996774193548387,3.2661290322580645,3.162903225806452,3.606451612903226,3.1983870967741934,3.7016129032258065,3.017741935483871
14-24,Business,20.928111993946274,2.9356791524782446,2.6672342035565646,3.068104426787741,2.9833522512296633,3.3348467650397278,3.3624668936814226,3.3077941732879306,3.3382519863791145,3.3374952705259173,3.2427166099129776,3.8072266363980325,3.333711691259932,3.820469163828982,3.3293605751040483
14-24,Eco,20.1259575840658,2.6360777356664786,2.9998387226836547,2.597290541085396,2.9633094105314086,3.0535440690266915,2.6237400209660513,3.0021772437706638,3.074106926860737,3.2200628981533748,3.192968309007338,3.6701878880735426,3.2053866623659384,3.6636561567615513,3.0722522377227643
14-24,Eco Plus,19.563636363636363,2.618909090909091,3.2523636363636363,2.568,2.933818181818182,3.072,2.610909090909091,3.0305454545454547,3.0887272727272728,3.0029090909090908,3.108363636363636,3.4647272727272727,3.0189090909090908,3.5192727272727273,3.101090909090909
24-50,Business,38.50645340891836,2.7718530141215774,2.918864200030369,2.905982689679607,2.985271043174571,3.332084830692919,3.685427949587488,3.742217948069039,3.64263299083869,3.7036240319886624,3.6555651161613607,3.874753252011945,3.5368476995495266,3.8768537733461557,3.480842233132561
24-50,Eco,37.06882605978161,2.7110923195705725,3.1251516599874996,2.6122283907496597,2.9889334166697306,3.1100775763814847,2.8037427846612006,3.1486451707783374,3.119599985293577,3.0569873892422517,3.079194088017942,3.3796095444685466,3.0518033751240856,3.4076988124563403,3.1266958344056768
24-50,Eco Plus,36.73342851315521,2.8225576177850296,3.1019783805833163,2.6893738527432185,2.9969406485825005,3.164389149500306,2.9065878033856825,3.1927391393024678,3.172547419946971,2.996736691821334,3.0656740770956556,3.318172547419947,2.976748929227004,3.3506016724454417,3.165816846828472
> 50,Business,57.14736778555904,2.7399178942284474,2.9506761651774935,2.895134025597682,2.986657812122676,3.3381429606375272,3.955807775899541,3.9964380584399906,3.7566409079932384,3.7661796667471625,3.772941318522096,3.790147307413668,3.557232552523545,3.7865853658536586,3.5555421395798117
> 50,Eco,59.87359724612737,2.6813080895008605,3.4081239242685024,2.6190017211703958,2.9486402753872634,3.0998967297762476,3.0857831325301204,3.3036144578313253,3.0961101549053356,3.1217211703958694,2.959724612736661,3.33039586919105,3.1581411359724614,3.3408605851979347,3.120826161790017
> 50,Eco Plus,60.216474333465975,2.7604456824512535,3.3406287306008755,2.691205730202945,2.9399124552327893,3.057699960206924,3.07958615200955,3.247910863509749,3.066852367688022,3.074810982888977,2.9828889773179466,3.291683247115002,3.0405889375248707,3.2924791086350975,3.0604854755272584
