Company,Total community,Active contributors
Google,310,21.0
Microsoft,224,19.0
Red Hat,188,17.0
IBM,49,8.0
Intel,105,6.0
Pivotal,26,5.0
GitHub,55,5.0
Amazon,54,5.0
Kitware,10,4.0
SUSE,38,4.0
Polidea,4,3.0
Huawei,30,3.0
Cloudera,27,3.0
Tencent,23,3.0
Palo Alto Networks,15,3.0
VMware,24,3.0
Facebook,74,3.0
Travis CI,6,3.0
Liferay,5,2.0
Gradle,8,2.0
Bitnami,3,2.0
Mozilla,39,2.0
Infosiftr,2,2.0
Kaltura,12,2.0
JetBrains,18,2.0
CircleCI,3,2.0
Acsone,4,2.0
Netflix,12,2.0
Obvious,5,2.0
NVidia,13,2.0
Elastic,5,1.0
Brave,1,1.0
Bloomberg,4,1.0
Arbisoft,4,1.0
Cloudfare,4,1.0
Eficent,5,1.0
JankariTech,2,1.0
Binary Group,2,1.0
Accenture,7,1.0
Nextcloud,1,1.0
Julia Computing,2,1.0
Twilio,1,1.0
Adguard,6,1.0
Goldman Sachs,1,1.0
Palantir,3,1.0
Salesforce,10,1.0
Collabora,10,1.0
Yandex,10,1.0
DigitalOcean,1,1.0
Twitter,4,1.0
Bootlin,4,1.0
Block.one,2,1.0
Pyup,1,1.0
Siemens,1,1.0
Cisco Systems,10,1.0
Canonical,10,1.0
Open Robotics,4,1.0
Camptocamp,3,1.0
Uber,14,1.0
New Relic,3,1.0
PTV Group,1,1.0
Digital Asset,1,1.0
mongoDB,12,1.0
SecOps Solutions,1,1.0
Verizon Media,3,1.0
Confluent,11,1.0
Renovateapp,1,1.0
Snyk,3,1.0
Mellanox Technologies,19,1.0
LG Electronics,3,1.0
The guardian,2,
Igalia,2,
iXsystems,1,
Cozy,1,
ARM,21,
Mapbox,2,
TeamDev,1,
Bosch,1,
Unity Technologies,3,
Shopware,1,
Talend,1,
Linaro,14,
Couchbase,1,
D2iQ,5,
Spryker,1,
Balena,3,
Adobe,9,
Sony,5,
WSO2,1,
Orange,3,
Dimagi,1,
Docker,3,
Autodesk,3,
Azavea,2,
Qt,1,
Buoyant,3,
TI,8,
Aiven,1,
EPAM,10,
WarnerMedia,1,
Puppet,2,
LunarG,1,
Stripe,3,
Chef,6,
Yahoo,6,
Enalean,1,
Percona,4,
Joyent,1,
Shopify,4,
Grafana,4,
ConsenSys,4,
Infosys Ltd,2,
Luxoft,1,
Oracle,19,
Lyft,3,
Sentry,4,
Dynatrace,1,
LabKey,1,
RStudio,2,
Origin,1,
Sonymobile,1,
Capgemini,1,
Automattic,7,
GatsbyJS,2,
Andela,1,
Hewlett Packard Enterprise,2,
Camunda,1,
RTE,1,
commercetools,1,
Lablup,1,
MediaTek,2,
Autonomous,2,
Philips,1,
Linagora,2,
Kainos,3,
CS Group,1,
Zalando,2,
H2O.ai,1,
LINE Corporation,5,
Wind River,2,
CGI,2,
Samsung,13,
STMicroelectronics,1,
Cockroachlabs,4,
Citrix,1,
Analog Devices,1,
Square,3,
Gofore,1,
Broadcom,12,
Plotly,1,
Ad Hoc,1,
Exoplatform,1,
Pixel & Tonic,2,
Atlassian,3,
ThoughtWorks,6,
Baidu,9,
AMD,18,
Synopsys,7,
Indexdata,1,
Improbable,1,
LinkedIn,6,
PingCAP,4,
GitLab,4,
Yunion,1,
Splunk,1,
Alibaba,17,
Odoo,14,
Cloudbees,2,
Iohk,2,
Atomist,1,
Equinor,1,
tweag.io,1,
Silverstripe,1,
ArangoDB,1,
NXP,10,
HERE,2,
Linutronix,2,
Ericsson,3,
Endlessm,2,
HashiCorp,4,
SAP,33,
MuleSoft,1,
Apple,8,
Datadoghq,5,
ScyllaDB,14,
eBay,4,
Ant Financial,4,
Espressif,1,
Nordic Semiconductor,3,
ESRI,4,
Expedia Group,4,
SiFive,3,
Microchip Technology,2,
Instructure,1,
Test.com,1,
MariaDB,1,
Reaktor,2,
Truss Works,2,
WIX,16,
BBC,2,
EuroLinux,1,
